id,title,description,release_year,runtime,first_genre,second_genre,country,first_keyword,second_keyword,third_keyword,my_rating
tm824559,"Bikram: Yogi, Guru, Predator",The spectacular rise and scandalous fall of hot-yoga evangelist Bikram Choudhury is chronicled through archival footage and extensive insider interviews.,2019,86,crime,documentation,US,Yogi,Guru,Predator,6.543004459408148
tm376739,Bethany Hamilton: Unstoppable,"One of the most fearless and accomplished athletes of her generation, Bethany Hamilton became a surfing wunderkind when she returned to the sport following a devastating shark attack at age 13. As she continues to chase waves she also now tackles motherhood.",2019,99,documentation,sport,US,Bethany,Hamilton,Unstoppable,7.769141744533724
tm814644,Coffee & Kareem,"Twelve-year-old Kareem Manning hires a criminal to scare his mom's new boyfriend -police officer James Coffee - but it backfires, forcing Coffee and Kareem to team up in order to save themselves from Detroit's most ruthless drug kingpin.",2020,88,crime,action,US,Kareem,Coffee,Manning,5.281278761693466
tm458326,Walk. Ride. Rodeo.,"Tells the incredible true story of Amberley Snyder, a nationally ranked rodeo barrel racer who defies the odds after barely surviving a car accident that leaves her paralyzed from the waist down.",2019,100,drama,no_second-genre,US,Walk,Ride,Rodeo,6.973558573947247
tm449594,Brother,"Because he wanted to protect his little brother, Teddy, a young man without a history, is accused of the murder of his father and sent to a closed educational center, waiting for his trial for parricide. He then plunges into a brutal universe of which he does not know the rules.",2019,96,drama,european,FR,Teddy,Brother,history,6.612985547299252
tm454824,Silver Skates,"1899, the Christmas-time St.Petersburg. Ice-covered rivers and canals of the capital seethe with festive activities. On the eve of the new century those who should not be destined to meet, come together. They are people from different worlds: Matvey, the son of a lamplighter, whose only treasure is his silver-plated skates; Alice is the daughter of a high-ranking official dreaming of science. Each of them has his own difficult life-story, but having accidentally met they rush forward together in pursuit of their dreams.",2020,136,history,romance,RU,Christmas-time,Skates,Silver,7.6605106566181025
tm853113,Thomas & Friends: Marvelous Machinery,"Ruth, Thomas's new friend will bring great exciting adventures and technology.",2020,59,fantasy,animation,unknown_country,Thomas,Marvelous,Ruth,2.0383442437324226
tm885805,Debt Collectors,"A pair of debt collectors are thrust into an explosively dangerous situation, chasing down various lowlifes while also evading a vengeful kingpin.",2020,97,action,comedy,US,Collectors,Debt,situation,6.032948890904678
tm453994,The Body Remembers When the World Broke Open,"When Áila encounters a young Indigenous woman, barefoot and crying in the rain on the side of a busy street, she soon discovers that this young woman, Rosie, has just escaped a violent assault at the hands of her boyfriend. Áila decides to bring Rosie home with her and over the course of the evening, the two navigate the aftermath of this traumatic event.",2019,105,drama,european,NO,woman,young,Rosie,7.234217002829838
tm458328,Badla,A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.,2019,120,thriller,crime,IN,Badla,lover,dynamic,7.688611471235481
tm838869,Wonder Boy,"At age 25, Olivier Rousteing was named the creative director of the French luxury fashion house, Balmain. At the time, Rousteing was a relatively unknown designer, but in the decade since, he’s proven his business prowess and artistic instinct by leading Balmain to new heights. Wonderboy gives the viewer the rare opportunity to experience the inner sanctum of the fashion world, as we stand shoulder-to-shoulder with this extraordinary individual while he works. Once the day’s hectic pace subsides, the camera becomes Rousteing’s confidante, and he opens up, revealing intimate details about what both worries and drives him.",2019,99,documentation,european,FR,Rousteing,Olivier,Balmain,6.799999999999999
tm470836,The Show Must Go On: The Queen + Adam Lambert Story,"A documentary chronicling Queen and Lambert's incredible journey since they first shared the stage together on ""American Idol"" in 2009.",2019,81,music,documentation,US,Queen,Lambert,Adam,7.584402410454667
tm840438,Mike Birbiglia: The New One,Comedian Mike Birbiglia hits Broadway with a hilarious yet profound one-man show that recounts his emotional and physical journey to parenthood.,2019,85,comedy,no_second-genre,unknown_country,Birbiglia,Mike,Comedian,7.557916776873092
tm495609,Game Over,A nyctophobic woman has to fight her inner demons to stay alive in the game called life.,2019,102,drama,thriller,IN,life,Game,nyctophobic,6.785883849750219
tm833638,The Forest of Love,A con man and a would-be filmmaking crew force themselves into the lives of two grief-scarred young women. But nothing is as it seems.,2019,151,drama,crime,JP,Forest,Love,women,6.469113672317054
tm453903,Elisa & Marcela,"In 1901, Marcela Gracia Ibeas took on the identity of Mario Sánchez to marry her lover of fifteen years, Elisa Sanchez Loriga.",2019,118,drama,romance,ES,Marcela,Elisa,Loriga,7.155734745693144
tm461829,The Hard Way,"After learning of his brother's death during a mission in Romania, a former soldier joins two allies to hunt down a mysterious enemy and take his revenge.",2019,94,action,no_second-genre,US,Romania,Hard,revenge,5.303611295480533
tm446581,The Edge of Democracy,"A cautionary tale for these times of democracy in crisis—the personal and political fuse to explore one of the most dramatic periods in Brazilian history. With unprecedented access to Presidents Dilma Rousseff and Lula da Silva, we witness their rise and fall and the tragically polarized nation that remains.",2019,121,documentation,history,BR,Democracy,Edge,Brazilian,7.450183644639053
tm831873,The Crimes That Bind,"Desperate and confused, Alicia will do the impossible to keep her son from prison after he's convicted of trying to murder his ex-wife.",2020,99,crime,drama,AR,Alicia,Crimes,Bind,6.482591855254407
tm868777,"Love, Guaranteed","To save her small law firm, earnest lawyer Susan takes a high-paying case from Nick, a charming new client who wants to sue a dating website that guarantees love. But as the case heats up, so do Susan and Nick's feelings for each other.",2020,90,comedy,romance,US,Guaranteed,Love,Susan,5.9720894428295095
